"site_date_key","lat","lon","sample_date","salinity","temperature","sample_trip","notes","drop_processing.species_code","wrapping_inventory.tray_code","wrapping_inventory.vial_code","d13C","d15N","d34S","Concd13C","Concd15N","Concd34S","edge_man","edge_mar","edge_l.mangrove","edge_l.marsh","land_water_ratio","edge_perc"
"22dc2bdf",29.16055,-90.2458,2022-09-29 07:29:00,20.2,23.7,2209,NA,"PENSETS","b19292a6_2025-T4","1f14951cc",-17.9129888729525,6.49263562426187,5.53835993943281,47.5947599763845,12.0486426422658,1.04638665980462,0.03824231,0.178568731,0.176385437,0.823614563,0.727791541,0.216811041
"c5ec5e0f",29.12664,-90.1683,2022-09-26 09:36:00,21.6,31.9,2209,NA,"PENSETS","010139743_2024-T5","203fb20ad",-19.6789984159929,7.65068574726925,8.80480308327097,59.2183074065741,15.0112784244853,0.996804188661532,0.039949274,0.064337181,0.383072507,0.616927493,0.26685009,0.104286455
"3096ab9a",29.09944,-90.2381,2022-09-27 12:40:00,23.9,26.9,2209,NA,"PENSETS","010139743_2024-T5","11c7e8fed",-23.6722963313919,6.84071588683736,6.32804644060927,40.1125077827108,8.5236628977424,0.963432560459467,0.088905261,0.044875769,0.664558054,0.335441946,0.642573864,0.13378103
"5925e1f7",29.10804,-90.2317,2022-09-27 12:08:00,24.3,28,2209,NA,"PENSETS","b19292a6_2025-T4","b3866313",-22.2300843199342,9.44263674327013,8.93954614368814,29.9214476169823,7.20156779796534,0.946435550668754,0.068979355,0.045164061,0.604321801,0.395678199,0.528606506,0.114143416
"e49684aa",29.12894,-90.2296,2022-09-27 08:09:00,24.2,26.4,2209,NA,"PENSETS","b19292a6_2025-T4","0e780671b",-20.0013680463796,8.27078963737507,6.94892299487496,37.8582184464538,10.6969025358118,0.939874590894323,0.029192412,0.195599924,0.129863911,0.870136089,0.344994393,0.224792336
"77d490c5",29.11672,-90.1861,2022-09-29 04:36:00,23.6,19.5,2209,NA,"PENSETS","b19292a6_2025-T4","a02fadd5",-21.7662905224435,7.98454953471597,3.79277599941735,32.8030313017737,8.54050866863957,0.932625484746776,0.088319342,0.021658576,0.803064324,0.196935676,0.517955581,0.109977918
"39a22c63",29.1052,-90.2028,2022-09-28 06:26:00,22.3,23.4,2209,NA,"PENSETS","b19292a6_2025-T4","f443cb26",-21.1008472477831,9.59141558109314,10.3421326450908,50.3441537361868,12.687309470351,0.932056353491818,0.174552857,0.032854159,0.841595719,0.158404281,0.664890035,0.207407016
"ab165e76",29.14373,-90.1737,2022-09-23 09:21:00,24,NA,2209,NA,"PENSETS","b19292a6_2025-T4","b0d1352e",-21.602884395152,6.99815611079612,6.53002974811939,34.0350302290194,8.66038806404989,0.931351017659513,0.020925632,0.126326362,0.142107633,0.857892367,0.35516079,0.147251994
"bac32223",29.15986,-90.1909,2022-09-28 11:32:00,24.4,26.6,2209,NA,"PENSETS","b19292a6_2025-T4","d2430465",-20.3225108123123,7.483455777869,7.67279815049204,39.7551803355733,10.0119693982848,0.923070359177209,0.005483137,0.133054957,0.039578552,0.960421448,0.415837368,0.138538094
"af8bc475",29.11395,-90.2245,2022-09-25 06:38:00,25.2,NA,2209,NA,"PENSETS","b19292a6_2025-T4","f4d15f2c",-21.6936195309438,8.97979641801037,7.2059880389568,37.401656352044,10.6540702739997,0.89847726603182,0.112117827,0.023254576,0.828217752,0.171782248,0.705584877,0.135372403
"5f2537fb",29.146,-90.2279,2022-09-28 09:23:00,21.7,26,2209,NA,"PENSETS","b19292a6_2025-T4","d573f67f",-20.0964554048057,7.17087458927265,6.14974619568724,32.800580761349,7.42946185996084,0.877273650020957,0.124154649,0.114810148,0.519552045,0.480447955,0.600684043,0.238964797
"983b722b",29.12191,-90.2248,2022-09-25 11:24:00,25.6,33.1,2209,NA,"PENSETS","b19292a6_2025-T4","d39b1a8e",-21.1189636709291,8.6259320774364,9.40959050541878,42.0589896182234,10.9618422821696,0.862675146604699,0.186243301,0.040457018,0.821539652,0.178460348,0.418593096,0.226700319
"7b9bfc39",29.12279,-90.1768,2022-09-26 12:12:00,25.1,32.5,2209,NA,"PENSETS","b19292a6_2025-T4","e2d45503",-21.4537338328303,9.74737042080657,8.99021606341598,30.7054831494525,6.44325435437058,0.85710373022976,0.14260672,0.023808756,0.85693184,0.14306816,0.534028741,0.166415476
"05244dc3",29.1597,-90.229,2022-09-29 05:30:00,20.4,20.2,2209,NA,"PENSETS","b19292a6_2025-T4","18efc4ea6",-20.3225108123123,7.68566397248269,6.23403854166298,43.1706924283975,10.4528704461707,0.833654124556218,0.048753849,0.043827526,0.526605371,0.473394629,0.364511479,0.092581375
"41bfdee8",29.12095,-90.2302,2022-09-27 07:22:00,21,27.2,2209,NA,"PENSETS","010139743_2024-T5","1dd32b142",-19.4477055393819,6.77817860130477,6.96913513107748,53.2612665521918,13.3206191501503,0.82551133222522,0.148829748,0.10146359,0.594621291,0.405378709,0.433260881,0.250293338
"b7d69942",29.13289,-90.1752,2022-09-28 13:56:00,23.9,24.4,2209,NA,"PENSETS","b19292a6_2025-T4","c0d2f8f4",-20.1410405407287,7.99908667413393,8.19782476554438,34.7989581024066,9.51003711800363,0.824100059400848,0.005407587,0.070716574,0.071036405,0.928963595,0.171199006,0.076124161
"9595edb4",29.13335,-90.166,2022-09-26 10:30:00,21.4,32.8,2209,NA,"PENSETS","010139743_2024-T5","07c4d4b48",-21.1874302199772,7.83292139890722,10.1049798664414,62.6292484437783,16.3408035264789,0.823166282367244,0.074558334,0.054401825,0.57815014,0.42184986,0.417040576,0.128960159
"f3f8f037",29.12907,-90.1771,2022-09-28 14:34:00,23.8,24.4,2209,NA,"PENSETS","010139743_2024-T5","24e2761ce",-20.4231581059584,7.22859360470319,7.45287271571765,73.015873726025,18.5618824154865,0.803962971893886,0.027451966,0.079609978,0.256411988,0.743588012,0.234531655,0.107061944
"79464cf2",29.12692,-90.2252,2022-09-25 12:29:00,23.3,33.1,2209,NA,"PENSETS","010139743_2024-T5","133aa0594",-20.2691949746527,4.83595500132407,8.39977655178649,65.6634565317275,16.6338401026816,0.768904988422183,0.098580047,0.116123386,0.459145183,0.540854817,0.3460146,0.214703433
